"","features.fire_fly_id","fit.cluster"
"1274",3973751,1
"1275",3974894,1
"1276",3975774,2
"1277",3976312,3
"1278",3977166,2
"1279",3977275,3
"1280",3977377,3
"1281",3978050,3
"1282",3978716,3
"1283",3978959,1
"1284",3979678,2
"1285",3979705,3
"1286",3980577,3
"1287",3981024,2
"1288",3981047,3
"1289",3981494,1
"1290",3981542,2
"1291",3982258,3
"1292",3982520,2
"1293",3982536,2
"1294",3982751,3
"1295",3983284,3
"1296",3983649,3
"1297",3983711,2
"1298",3983784,3
"1299",3984028,3
"1300",3984170,3
"1301",3984309,3
"1302",3984477,3
"1303",3984528,2
"1304",3984613,3
"1305",3984727,3
"1306",3984731,2
"1307",3984987,2
"1308",3985000,3
"1309",3985092,1
"1310",3985122,3
"1311",3985143,2
"1312",3986644,2
"1313",3986658,2
"1314",3986767,2
"1315",3987039,3
"1316",3987395,3
"1317",3987463,3
"1318",3988127,3
"1319",3988187,3
"1320",3988362,3
"1321",3988408,2
"1322",3988697,3
"1323",3989169,2
"1324",3989576,3
"1325",3990715,1
"1326",3990918,3
"1327",3991445,3
"1328",3992627,2
"1329",3992999,3
"1330",3993692,1
"1331",3993697,2
"1332",3995848,1
"1333",3996952,1
"1334",3997689,1
"1335",3998417,3
"1336",3998895,3
"1337",3999083,3
"1338",3999250,2
"1339",3999816,3
"1340",3999847,3
"1341",3999849,3
"1342",3999879,3
"1343",4000412,3
"1344",4001460,3
"1345",4002094,2
"1346",4002900,1
"1347",4003190,1
"1348",4004278,3
"1349",4005596,2
"1350",4005760,3
"1351",4005814,3
"1352",4006142,3
"1353",4006833,2
"1354",4007499,3
"1355",4008262,3
"1356",4011139,1
"1357",4011452,3
"1358",4012315,3
"1359",4012931,1
"1360",4014644,2
"1361",4015373,3
"1362",4019735,3
"1363",4019919,3
"1364",4020168,3
"1365",4020702,3
"1366",4020844,1
"1367",4023744,3
"1368",4024465,2
"1369",4026371,3
"1370",4026589,1
"1371",4026947,3
"1372",4027138,3
"1373",4027172,2
"1374",4027244,3
"1375",4027374,1
"1376",4028872,2
"1377",4030233,2
"1378",4032018,1
"1379",4032309,3
"1380",4032433,3
"1381",4033124,3
"1382",4033410,3
"1383",4033530,1
"1384",4033775,2
"1385",4033863,2
"1386",4034166,3
"1387",4034243,1
"1388",4035144,2
"1389",4035295,3
"1390",4035658,2
"1391",4036088,2
"1392",4039402,3
"1393",4039516,2
"1394",4039929,1
"1395",4039962,2
"1396",4040379,3
"1397",4040609,3
"1398",4041488,3
"1399",4042703,2
"1400",4044226,3
"1401",4044643,2
"1402",4045089,2
"1403",4045278,3
"1404",4045633,3
"1405",4045849,3
"1406",4046029,1
"1407",4048098,3
"1408",4048843,1
"1409",4049116,2
"1410",4049287,2
"1411",4049450,3
"1412",4050145,1
"1413",4050865,3
"1414",4053762,2
"1415",4054178,2
"1416",4055690,3
"1417",4055778,1
"1418",4057217,1
"1419",4058608,3
"1420",4061777,2
"1421",4062140,3
"1422",4062843,3
"1423",4065750,1
"1424",4066940,1
"1425",4068359,1
"1426",4068475,3
"1427",4069295,2
"1428",4069791,1
"1429",4070552,1
"1430",4071677,1
"1431",4072309,3
"1432",4072504,1
"1433",4075245,3
"1434",4075684,1
"1435",4076109,2
"1436",4076434,1
"1437",4076465,1
"1438",4078492,3
"1439",4079597,1
"1440",4079795,1
"1441",4079939,2
"1442",4081298,1
"1443",4081955,3
"1444",4083170,3
"1445",4084722,2
"1446",4085600,3
"1447",4085864,2
"1448",4087841,3
"1449",4088946,1
"1450",4090865,3
"1451",4092213,2
"1452",4094631,3
"1453",4094769,2
"1454",4096213,2
"1455",4101588,1
"1456",4101824,2
"1457",4102719,1
"1458",4103646,3
"1459",4104302,3
"1460",4106467,3
"1461",4461632,2
"1462",4461867,3
"1463",4462224,2
"1464",4462385,3
"1465",4463489,1
"1466",4463659,2
"1467",4464098,3
"1468",4471518,3
"1469",4474983,2
"1470",4476015,3
"1471",4476297,3
"1472",4477593,3
"1473",4481305,1
"1474",4481430,2
"1475",4484214,3
"1476",4485519,2
"1477",4486656,2
"1478",4486849,3
"1479",4488308,3
"1480",4488840,1
"1481",4489968,2
"1482",4490602,3
"1483",4639350,2
"1484",4640054,2
"1485",4640122,3
"1486",4640852,3
"1487",4641627,3
"1488",4643243,2
"1489",4644188,1
"1490",4645941,1
"1491",4646171,3
"1492",4646813,1
"1493",4649237,3
"1494",4649807,3
"1495",4652019,1
"1496",4652175,3
"1497",4652900,3
