"","features.fire_fly_id","FINALREF_FIT.cluster"
"1839",5308371,1
"1840",5308490,1
"1841",5309274,3
"1842",5309584,3
"1843",5310311,2
"1844",5311055,3
"1845",5312757,3
"1846",5315341,3
"1847",5318163,1
"1848",5326079,2
"1849",5326227,3
"1850",5326689,1
"1851",5329267,4
"1852",5329290,4
"1853",5330549,4
"1854",5331119,3
"1855",5332111,3
"1856",5332218,3
"1857",5333089,3
"1858",5335196,3
"1859",5336272,2
"1860",5338160,4
"1861",5341263,2
"1862",5342958,3
"1863",5343258,1
"1864",5343483,3
"1865",5343959,2
"1866",5350633,3
"1867",5351930,1
"1868",5353260,2
"1869",5353514,3
"1870",5379935,3
"1871",5380627,1
"1872",5384448,3
"1873",5384556,3
"1874",5385702,1
"1875",5391589,3
"1876",5391741,4
"1877",5392181,4
"1878",5393951,3
"1879",5396377,4
"1880",5396611,2
"1881",5396889,3
"1882",5397192,2
"1883",5398684,2
"1884",5407845,2
"1885",5414095,4
"1886",5414336,2
"1887",5419814,2
"1888",5421111,3
"1889",5423629,2
"1890",5426080,2
"1891",5426236,3
"1892",5426756,1
"1893",5426912,3
"1894",5429518,1
"1895",5432461,2
"1896",5434034,1
"1897",5435643,1
"1898",5436212,3
"1899",5439980,1
"1900",5441039,3
"1901",5441073,3
"1902",5443658,4
"1903",5445416,3
"1904",5447384,3
"1905",5448203,2
"1906",5448501,4
"1907",5449455,2
"1908",5449616,4
"1909",5449909,3
"1910",5453403,2
"1911",5456678,2
"1912",5457055,3
"1913",5457159,3
"1914",5458657,4
"1915",5465898,4
"1916",5467323,1
"1917",5468144,2
"1918",5477040,2
"1919",5479134,3
"1920",5480634,3
"1921",5482908,3
"1922",5483184,2
"1923",5483257,3
"1924",5484563,4
"1925",5488907,4
"1926",5494444,3
"1927",5498446,1
"1928",5502671,2
"1929",5503474,2
"1930",5504198,3
"1931",5510402,1
"1932",5510619,3
"1933",5515885,4
"1934",5526501,3
"1935",5526821,2
"1936",5528713,4
"1937",5531105,4
"1938",5532054,4
"1939",5534483,4
"1940",5535090,1
"1941",5535534,4
"1942",5538655,3
"1943",5540683,2
"1944",5541212,1
"1945",5541986,3
"1946",5545082,3
"1947",5548791,3
"1948",5550304,1
"1949",5551228,4
"1950",5555984,3
"1951",5557642,4
"1952",5558428,3
"1953",5558956,2
"1954",5559098,3
"1955",5559151,3
"1956",5559197,3
"1957",5575539,3
