fire_fly_id,referrer_type_value,percentbyref
3160445,Typed/Bookmarked,0.3048780487804878
3160477,Typed/Bookmarked,1
3160512,Other Web Sites,0.5
3160512,Search Engines,0.5
3160512,Typed/Bookmarked,0.5
3160561,Inside Your Site,0.3333333333333333
3160561,Other Web Sites,0.1111111111111111
3160561,Search Engines,0.2222222222222222
3160561,Typed/Bookmarked,0.5555555555555556
3160706,Inside Your Site,0.7142857142857143
3160706,Other Web Sites,0.14285714285714285
3160706,Social Networks,0.14285714285714285
3160706,Typed/Bookmarked,0.5714285714285714
3160755,Inside Your Site,0.7142857142857143
3160755,Other Web Sites,0.2857142857142857
3160755,Search Engines,0.14285714285714285
3160755,Typed/Bookmarked,0.42857142857142855
3160763,Search Engines,0.75
3160763,Social Networks,0.08333333333333333
3160763,Typed/Bookmarked,0.3333333333333333
3160805,Inside Your Site,0.5717761557177615
3160805,Other Web Sites,0.0267639902676399
3160805,Search Engines,0.0072992700729927005
3160805,Typed/Bookmarked,0.9927007299270073
3160816,Inside Your Site,0.17142857142857143
3160816,Search Engines,0.11428571428571428
3160816,Social Networks,0.11428571428571428
3160816,Typed/Bookmarked,0.7428571428571429
3160845,Inside Your Site,0.17647058823529413
3160845,Search Engines,0.11764705882352941
3160845,Social Networks,0.11764705882352941
3160845,Typed/Bookmarked,0.8235294117647058
3160892,Inside Your Site,1
3160892,Search Engines,0.5
3160892,Typed/Bookmarked,1
3161220,Inside Your Site,0.46296296296296297
3161220,Other Web Sites,0.037037037037037035
3161220,Search Engines,0.4074074074074074
3161220,Social Networks,0.018518518518518517
3161220,Typed/Bookmarked,0.5
3161349,Inside Your Site,0.6513761467889908
3161349,Other Web Sites,0.03669724770642202
3161349,Search Engines,0.09174311926605505
3161349,Social Networks,0.009174311926605505
3161349,Typed/Bookmarked,0.8623853211009175
3161355,Inside Your Site,0.1652892561983471
3161355,Search Engines,0.024793388429752067
3161355,Typed/Bookmarked,1
3161375,Inside Your Site,0.03389830508474576
3161375,Social Networks,0.9830508474576272
3161375,Typed/Bookmarked,0.1440677966101695
3161401,Inside Your Site,0.5
3161401,Typed/Bookmarked,0.5
3161412,Inside Your Site,0.40540540540540543
3161412,Other Web Sites,0.02702702702702703
3161412,Search Engines,0.32432432432432434
3161412,Typed/Bookmarked,0.6216216216216216
3161416,Inside Your Site,0.21428571428571427
3161416,Other Web Sites,0.07142857142857142
3161416,Social Networks,0.7857142857142857
3161416,Typed/Bookmarked,0.6428571428571429
3161595,Inside Your Site,0.75
3161595,Typed/Bookmarked,1
3161707,Inside Your Site,0.38636363636363635
3161707,Search Engines,0.03409090909090909
3161707,Social Networks,0.056818181818181816
